Brand,Model,Reference Number,Type,Movement,Base Movement,Movement Type,Price (New),Price (Used),Year,Case Diameter (mm),Lug Width (mm),Case Thickness (mm),Water Resistance (m),Crystal,Weight (grams),Case Material,Bracelet/Strap Type,Bezel Material,Power Reserve (hours),Complications,Gender,Country of Manufacture
Fossil,Townsman ME3110,ME3110,Dress,Automatic Skeleton,,Automatic,215,150,2023,44,22,13,50,Glass,,Stainless Steel,Leather,,40,None,Male,China
MVMT,Chrono Gunmetal Sandstone,N/A,Chronograph,Miyota JS25,N/A,Quartz,135,95,2023,45,22,11,50,Glass,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,China
Lige,LG9842,LIGE-LG9842,Chronograph,Seiko VD57,N/A,Quartz,50,35,2023,43,22,11.5,30,Glass,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,China
Curren,CUR8208,CUR-8208,Dress,Generic Quartz,N/A,Quartz,30,20,2023,42,22,12,30,Glass,N/A,Alloy,Leather,N/A,N/A,Date,Male,China
Skmei,SK-1227,SK-1227,Digital,Generic Digital,,Quartz,25,15,2023,45,22,15,50,Acrylic,,Resin,Resin,,,Chronograph,Male,
Naviforce,NF9181,NF9181,Dress,Generic Quartz,N/A,Quartz,35,25,2023,43,22,12,30,Glass,N/A,Alloy,Leather,N/A,N/A,Date,Male,China
Biden,BD006,BID-BD006,Chronograph,Generic Quartz,N/A,Quartz,40,25,2023,44,22,13,30,Glass,N/A,Alloy,Leather,N/A,N/A,Chronograph,Male,China
Cadisen,C8197,CAD-C8197,Dress,Seagull ST6,,Automatic,95,70,2023,40,20,12.5,50,Glass,,Stainless Steel,Leather,,40,Date,Male,China
Pagani Design,PD-1661,PD-1661,Diver,Seiko NH35,,Automatic,115,85,2023,40,20,13,100,Sapphire,,Stainless Steel,Bracelet,Ceramic,41,Date,Male,China
Parnis,PN-101,PN-101,Pilot,Seagull ST25,,Automatic,120,90,2023,44,22,14,50,Glass,,Stainless Steel,Leather,,40,Small Seconds,Male,China
Addiesdive,AD2118,AD-2118,Diver,Seiko NH35,,Automatic,135,100,2023,41,20,13.3,200,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Tisell,9015 Marine,TIS-MARINE,Dress,Miyota 9015,,Automatic,245,190,2022,40,20,11,100,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,South Korea
Escapement Time,ET-8040,ET-8040,Dress,Miyota 8215,,Automatic,105,85,2023,40,20,11.5,50,Sapphire,,Stainless Steel,Leather,,42,Date,Male,China
San Martin,SN004-G,SN004-G,Diver,Seiko NH35,,Automatic,275,215,2023,41.5,20,13.5,200,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Alpha,Explorer Homage,ALP-EXP39,Dress,Miyota 8215,,Automatic,110,85,2023,39,20,12,100,Acrylic,,Stainless Steel,Bracelet,,42,None,Male,China
Bliger,Submariner Homage,BLG-16610,Diver,Seiko NH35,,Automatic,115,90,2023,40,20,13,200,Sapphire,,Stainless Steel,Bracelet,Ceramic,41,Date,Male,China
Sugess,ST1901 Chronograph,SG1901-1,Chronograph,Seagull ST1901,Venus 175,Manual,225,170,2023,40,20,13.5,50,Sapphire,,Stainless Steel,Leather,,45,Chronograph,Male,China
Seestern,1970 Turtle Homage,SEE-TURTLE,Diver,Seiko NH35,,Automatic,160,120,2023,44,22,13.4,200,Sapphire,,Stainless Steel,Rubber,,41,Date,Male,China
Corgeut,Flieger Pilot Watch,CRG-FLG42,Pilot,Miyota 8215,,Automatic,90,70,2023,42,22,12.2,100,Sapphire,,Stainless Steel,Leather,,42,None,Male,China
Addiesdive,Bronze Diver,AD-BZNH35,Diver,Seiko NH35,,Automatic,165,130,2023,44,22,14.2,300,Sapphire,,Bronze,Rubber,,41,Date,Male,China
Pagrne Design,PD-1690,PD-1690,Chronograph,Seiko VK63,N/A,Quartz,95,70,2023,42,22,13,100,Sapphire,N/A,Stainless Steel,Bracelet,N/A,N/A,Chronograph,Male,China
Pagani Design,PD-1723,PD-1723,Chronograph,Seiko VK63,N/A,Quartz,105,75,2023,40,20,13.5,100,Sapphire,N/A,Stainless Steel,Bracelet,N/A,N/A,Chronograph,Male,China
Debert,Explorer Homage,DBR-EXP39,Dress,Miyota 8215,,Automatic,95,70,2023,39,20,12,100,Sapphire,,Stainless Steel,Bracelet,,42,None,Male,China
Cadisen,C8165,CAD-C8165,Dress,Seiko NH35,,Automatic,115,90,2023,40,20,12.5,50,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Bliger,Marine Master Homage,BLG-MM300,Diver,Seiko NH35,,Automatic,130,95,2023,44,22,15,300,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Heimdallr,Sharkey Tuna,HD-TUNA-01,Diver,Seiko NH35,,Automatic,175,130,2023,47,22,15.5,300,Sapphire,,Stainless Steel,Rubber,,41,Date,Male,China
Phylida,Yachtmaster Homage,PHL-YMSS,Dress,Seiko NH35,,Automatic,140,105,2023,40,20,13,100,Sapphire,,Stainless Steel,Bracelet,Ceramic,41,Date,Male,China
Lobinni,Interlaken Automatic,LOB-1863,Dress,Seagull ST2130,,Automatic,185,135,2023,41,20,12,50,Sapphire,,Stainless Steel,Leather,,38,Date,Male,China
Escapement Time,Dress Watch ET002,ET002,Dress,Miyota 9015,,Automatic,125,95,2023,39,20,10.5,30,Sapphire,,Stainless Steel,Leather,,42,None,Male,China
Tandorio,Dive Watch TND003,TND003,Diver,Seiko NH35,,Automatic,110,85,2023,40,20,13.2,200,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Parnis,Big Pilot Homage,PN-BP46,Pilot,Seagull ST36,,Manual,130,100,2023,46,22,14,50,Acrylic,,Stainless Steel,Leather,,48,None,Male,China
Sugess,Moonphase Chronograph,SG-MOON01,Chronograph,Seagull ST1908,Venus 175,Manual,275,210,2023,42,22,13.8,50,Sapphire,,Stainless Steel,Leather,,40,Chronograph,Male,China
Bliger,Explorer II Homage,BLG-EXPII,Dress,Seiko NH34,,Automatic,135,100,2023,40,20,13,100,Sapphire,,Stainless Steel,Bracelet,,41,GMT,Male,China
Pagani Design,PD-1701,PD-1701,Chronograph,Seiko VK64,N/A,Quartz,110,85,2023,42,22,13.2,100,Sapphire,N/A,Stainless Steel,Bracelet,N/A,N/A,Chronograph,Male,China
Addiesdive,AD-2030,AD-2030,Diver,Seiko NH35,,Automatic,145,110,2023,41,20,13.4,300,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
San Martin,BB58 Homage,SN008G-D,Diver,Seiko NH35,,Automatic,290,220,2023,39,20,13,200,Sapphire,,Stainless Steel,Bracelet,,41,None,Male,China
Phylida,Submariner Homage,PHL-SUB01,Diver,Seiko NH35,,Automatic,120,95,2023,40,20,13.1,200,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Seestern,Retro Diver 62MAS,SEE-62MAS,Diver,Seiko NH35,,Automatic,165,125,2023,39,20,13,200,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Heimdallr,Turtle Homage,HD-TURTLE,Diver,Seiko NH35,,Automatic,180,135,2023,45,22,13.8,200,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Seiko,SRPD55K1 Diver,SRPD55K1,Diver,4R36,In-house,Automatic,325,240,2023,42.5,22,13.4,100,Hardlex,,Stainless Steel,Bracelet,,41,Day-Date,Male,Japan
Citizen,NY0040-09EE,NY0040-09EE,Diver,8203,In-house,Automatic,275,200,2023,42,20,13.5,200,Hardlex,,Stainless Steel,Rubber,,42,Day-Date,Male,Japan
Orient,Kanno RA-AA0915R19B,RA-AA0915R19B,Diver,F6922,In-house,Automatic,285,210,2023,44,22,13.1,200,Mineral,,Stainless Steel,Bracelet,,40,Day-Date,Male,Japan
Casio,Duro MDV106-1A,MDV106-1A,Diver,2784,N/A,Quartz,70,50,2023,44,22,12,200,Mineral,N/A,Stainless Steel,Rubber,N/A,N/A,Date,Male,Japan
Timex,Q Reissue TW2T80700ZV,TW2T80700ZV,Dress,Miyota 8215,,Automatic,289,220,2023,38,18,12,50,Acrylic,,Stainless Steel,Bracelet,,42,Date,Male,Philippines
Invicta,8927OB Pro Diver,8927OB,Diver,Seiko NH35,,Automatic,85,60,2023,40,20,13,200,Flame Fusion,,Stainless Steel,Bracelet,,41,Date,Male,China
Tissot,Gentleman Powermatic 80,T127.407.11.051.00,Dress,ETA C07.811,ETA 2824-2,Automatic,825,620,2023,40,20,11.5,100,Sapphire,,Stainless Steel,Bracelet,,80,Date,Male,Switzerland
Vostok,Amphibia Scuba Dude,420059,Diver,2416B,In-house,Automatic,120,95,2023,41,22,15,200,Acrylic,,Stainless Steel,Rubber,,31,Date,Male,Russia
Hamilton,Khaki Pilot Day Date,H64615135,Pilot,H-40,ETA 2836-2,Automatic,995,725,2023,42,20,12,100,Sapphire,,Stainless Steel,Bracelet,,80,Day-Date,Male,Switzerland
Marathon,GSAR Government Issue,WW194006,Diver,ETA 2824-2,ETA 2824-2,Automatic,1250,950,2023,41,20,14,300,Sapphire,,Stainless Steel,Rubber,,42,Date,Male,Canada
Ball,Engineer Hydrocarbon NEDU,DC3026A-SC-BK,Diver,Ball RR1402,Valjoux 7750,Automatic,4350,3150,2023,42,22,17.3,600,Sapphire,,Stainless Steel,Bracelet,,48,Chronograph,Male,Switzerland
Zodiac,Super Sea Wolf GMT,ZO9400,GMT,ETA 2893-2,ETA 2893-2,Automatic,1695,1250,2023,40,20,13.6,200,Sapphire,,Stainless Steel,Bracelet,,42,GMT,Male,Switzerland
Squale,20 Atmos Classic,SQ-20ATMCL,Diver,ETA 2824-2,ETA 2824-2,Automatic,895,675,2023,40,20,12.1,200,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Switzerland
Raketa,Polar 0270,270,Dress,Cal. 2623H,In-house,Manual,695,540,2023,40.5,20,12.2,100,Sapphire,,Stainless Steel,Leather,,42,Date,Male,Russia
Baltic,MR01 Salmon,MR01-S,Dress,Hangzhou CAL5000a,,Automatic,650,480,2023,36,20,9.9,30,Hesalite,,Stainless Steel,Leather,,42,Small Seconds,Male,France (Assembled)
Farer,Thurso Aqua Compressor,FAR-THUAC,Diver,Sellita SW200-1,SW200-1,Automatic,1295,975,2023,41,20,12.5,300,Sapphire,,Stainless Steel,Rubber,,38,Date,Male,UK (Assembled)
Halios,Universa,HAL-UNIV-DGR,Field,Sellita SW210-1,SW210-1,Manual,775,625,2023,38,20,11,100,Sapphire,,Stainless Steel,Bracelet,,42,None,Male,Canada (Assembled)
Lorier,Zephyr,LOR-ZEPH-DSS,Dress,Miyota 9029,,Automatic,599,475,2023,36,19,10,50,Hesalite,,Stainless Steel,Bracelet,,42,Date,Unisex,USA (Assembled)
Maen,Brooklyn 36,MAE-B36,Dress,Miyota 9039,,Automatic,499,380,2023,36.5,20,10.2,100,Sapphire,,Stainless Steel,Bracelet,,42,None,Male,Netherlands
Studio Underd0g,Mint Ch0c Chip Chronograph,V1-MINTCHIP,Chronograph,Seagull ST1901,Venus 175,Manual,695,575,2023,38.5,20,13.6,50,Hesalite,,Stainless Steel,Leather,,45,Chronograph,Unisex,UK (Assembled)
Furlan Marri,Black Sector 2116-A,2116-A,Dress,Seiko VK64,N/A,Quartz,495,385,2023,38,20,11.3,50,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland (Assembled)
Unimatic,U1-MLB,U1-MLB,Diver,Seiko NH35A,,Automatic,675,525,2023,41.5,22,13.6,300,Sapphire,,Stainless Steel,Rubber,,41,None,Male,Italy
Nodus,Retrospect III,NOD-RETROIII,Diver,Miyota 9015,,Automatic,475,360,2023,42,20,13,200,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,USA (Assembled)
Christopher Ward,C60 Trident Pro 300,C60-41ADA3-S00K0-B0,Diver,SW200-1,SW200-1,Automatic,995,750,2023,41,20,11.5,300,Sapphire,,Stainless Steel,Bracelet,Ceramic,38,Date,Male,UK (Assembled)
Isotope,Old Radium Bronze,ISO-OR-BRN,Diver,Landeron 24,,Automatic,950,750,2023,40,22,14.5,300,Sapphire,,Bronze,Rubber,,40,Date,Male,UK (Assembled)
Timex,Q Diver Reissue TW2U61100ZV,TW2U61100ZV,Diver,Miyota 8215,,Automatic,279,215,2023,38,18,13.5,50,Acrylic,,Stainless Steel,Bracelet,,42,Date,Male,Philippines
Citizen,Tsuyosa NJ0150-56X,NJ0150-56X,Dress,Miyota 8210,,Automatic,450,335,2023,40,20,11.7,50,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,Japan
Seiko,Presage Style60’s SRPG03,SRPG03,Dress,4R35,In-house,Automatic,525,395,2023,40.8,20,12,50,Hardlex,,Stainless Steel,Leather,,41,Date,Male,Japan
Orient,Star Retro Future Guitar,RE-AV0B05Y,Retro,F6S22,In-house,Automatic,720,570,2023,40.5,20,13,50,Sapphire,,Stainless Steel,Leather,,40,Open Heart,Male,Japan
Casio,Oceanus OCW-T200S-1AJF,OCW-T200S-1AJF,Dress,Tough Solar Bluetooth,,Solar Quartz,495,390,2023,41.1,20,11.1,100,Sapphire,,Titanium,Bracelet,,,Date,Male,
Tissot,PRX Chronograph,T137.427.11.011.00,Chronograph,Valjoux A05.H31,Valjoux 7753,Automatic,1750,1350,2023,42,12,14.5,100,Sapphire,,Stainless Steel,Bracelet,,60,Chronograph,Male,Switzerland
Swatch,Biogceramic MoonSwatch Mission to Mars,SO33R100,Chronograph,ETA Quartz Chronograph,N/A,Quartz,260,500,2023,42,20,13.3,30,Bioceramic,N/A,Bioceramic,Velcro,N/A,N/A,Chronograph,Unisex,Switzerland
Casio,G-Shock Full Metal GMW-B5000D-1,GMW-B5000D-1,Digital,Casio Module 3459,,Solar Quartz,550,460,2023,43.2,22,13,200,Hardlex,,Stainless Steel,Bracelet,,,World Time,Unisex,
Citizen,Promaster Skyhawk AT,JY8078-52L,Pilot,U680,,Solar Quartz,650,495,2023,45,22,14.5,200,Sapphire,,Stainless Steel,Bracelet,,,Radio-Controlled,Male,
Seiko,King Seiko SPB281,SPB281,Dress,6R31,In-house,Automatic,1700,1300,2023,37,19,11.4,100,Sapphire,,Stainless Steel,Bracelet,,70,Time Only,Male,Japan
Orient,Sun and Moon Version 4,RA-AS0103S10B,Dress,F6L24,In-house,Automatic,425,320,2023,42.5,22,14,50,Sapphire,,Stainless Steel,Leather,,40,Day/Night,Male,
Hamilton,Khaki Aviation Converter,H76615530,Pilot,H-10,ETA 2824-2,Automatic,1145,850,2023,42,20,12,100,Sapphire,,Stainless Steel,Bracelet,,80,Slide Rule Bezel,Male,
Bulova,Lunar Pilot Chronograph,96B258,Chronograph,High Performance Quartz,N/A,Quartz,575,420,2023,45,20,13.5,50,Sapphire,N/A,Stainless Steel,Bracelet,N/A,N/A,Chronograph,Male,Japan
Victorinox,I.N.O.X. Mechanical,241836,Diver,ETA 2824-2,ETA 2824-2,Automatic,825,625,2023,43,21,13.5,200,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Switzerland
Alpina,Startimer Pilot AL-525G4TS6,N/A,Pilot,AL-525,SW200-1,Automatic,895,685,2023,42,22,11.5,100,Sapphire,,Stainless Steel,Leather,,38,Date,Male,Switzerland
Frederique Constant,Runabout Automatic,FC-303RMN5B6,Dress,FC-303,SW200-1,Automatic,1350,950,2023,42,22,11,100,Sapphire,,Stainless Steel,Leather,,38,Date,Male,Switzerland
Glycine,Airman No.1 Purist GL0167,GL0167,GMT,GL293,ETA 2893-2,Automatic,1200,925,2023,36,20,12.4,200,Sapphire,,Stainless Steel,Bracelet,,42,GMT,Male,Switzerland
Laco,Munich Pilot Chronograph,861688,Chronograph,Laco 50,ETA 7750,Automatic,2450,1850,2023,42,22,14,100,Sapphire,,Stainless Steel,Leather,,48,Chronograph,Male,Germany
Raymond Weil,Freelancer Diver,2760-ST1-20001,Diver,RW4200,SW200-1,Automatic,1795,1300,2023,42.5,22,11.8,300,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Switzerland
Ball,Engineer III Pioneer,NL2098C-S3J-GY,Dress,RRM7309-S,In-house,Automatic,2350,1700,2023,40,20,13.2,100,Sapphire,,Stainless Steel,Bracelet,,80,Time Only,Male,Switzerland
Mido,Baroncelli Chronometer Silicon,M027.408.11.061.00,Dress,Caliber 80 COSC Si,ETA C07.821,Automatic,1170,875,2023,40,20,9.4,30,Sapphire,,Stainless Steel,Bracelet,,80,Date,Male,Switzerland
Junghans,Meister Chronoscope,027/4526.01,Chronograph,J880.1,Valjoux 7750,Automatic,1990,1450,2023,40.7,21,13.9,30,Plexiglass,,Stainless Steel,Leather,,48,Chronograph,Male,Germany
Rado,Golden Horse Automatic,R33101203,Dress,Rado Calibre R763,ETA C07.611,Automatic,1850,1350,2023,41.8,21,11.1,50,Sapphire,,Stainless Steel,Bracelet,,80,Date,Male,Switzerland
Oris,Big Crown Pointer Date,01 754 7741 4065-07 8 20 22,Dress,Oris 754,SW200-1,Automatic,1950,1450,2023,40,20,11.8,50,Sapphire,,Stainless Steel,Bracelet,,38,Pointer Date,Male,Switzerland
Nomos,Metro Neomatik 41 Update,1165,Dress,DUW 6101,In-house,Automatic,4700,3500,2023,40.5,20,9,50,Sapphire,,Stainless Steel,Leather,,42,Date,Male,Germany
Meistersinger,No. 01,AM3303,Dress,SW210-1,SW210-1,Manual,1650,1200,2023,43,20,11.5,30,Sapphire,,Stainless Steel,Leather,,42,Time Only,Male,Germany
Union Glashütte,1893 Johannes Dürrstein,UD-1893JD,Dress,U2892A2,ETA 2892-A2,Automatic,2500,1850,2023,41,21,11.8,100,Sapphire,,Stainless Steel,Leather,,42,Date,Male,Germany
Tutima,Saxon One Automatic,########,Dress,Tutima 330,ETA 2836-2,Automatic,3100,2250,2023,42,22,12.5,100,Sapphire,,Stainless Steel,Bracelet,,42,Day-Date,Male,Germany
Sinn,556 I,556.01,Dress,SW200-1,SW200-1,Automatic,1480,1100,2023,38.5,20,11,200,Sapphire,,Stainless Steel,Bracelet,,38,Time Only,Male,Germany
Damasko,DC56,DC56-001,Chronograph,Valjoux 7750,ETA 7750,Automatic,2950,2150,2023,40,20,13.8,100,Sapphire,,Ice-hardened Steel,Leather,,48,Chronograph,Male,Germany
Fortis,Marinemaster M-44,F4220008,Diver,WERK 11,Kenissi Caliber,Automatic,4300,3100,2023,44,22,15,500,Sapphire,,Stainless Steel,Bracelet,,70,Time Only,Male,Switzerland
Mühle Glashütte,Teutonia II Chronograph,M1-30-95-LB,Chronograph,MU 9413,Valjoux 7750,Automatic,3800,2850,2023,42,22,14.2,100,Sapphire,,Stainless Steel,Leather,,48,Chronograph,Male,Germany
Chronoswiss,Regulator Classic C.301,C.301,Dress,C.295,ETA 2895-2,Automatic,4200,2950,2023,41,21,12,100,Sapphire,,Stainless Steel,Leather,,42,Regulator,Male,Switzerland
Armand Nicolet,JS9-44,JS9-44,Diver,AN2846-9,ETA 2846,Automatic,1900,1350,2023,44,22,13.2,300,Sapphire,,Stainless Steel,Bracelet,,42,Day-Date,Male,Switzerland
Eterna,KonTiki Date,1220.41.43.0217,Diver,SW200-1,SW200-1,Automatic,1650,1250,2023,42,22,12.3,200,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Switzerland
Revue Thommen,Airspeed XLarge,########,Diver,ETA 7750,ETA 7750,Automatic,2100,1500,2023,43,22,15,100,Sapphire,,Stainless Steel,Bracelet,,48,Chronograph,Male,Switzerland
Ventura,V-Tec Alpha,W25S,Digital,V-Tec Alpha Module,N/A,Quartz,950,720,2023,40,22,13.5,30,Sapphire,N/A,Titanium,Rubber,N/A,N/A,Digital Time Only,Unisex,Switzerland
Maurice de Mauriac,L1,L1-AUTOMATIC,Dress,ETA 2824-2,ETA 2824-2,Automatic,2100,1600,2023,39,20,11,100,Sapphire,,Stainless Steel,Leather,,38,Time Only,Male,Switzerland
Hanhart,Pioneer One,H701.210-0010,Dress,SW200-1,SW200-1,Automatic,1100,850,2023,42,22,12.1,100,Sapphire,,Stainless Steel,Leather,,38,Time Only,Male,Germany
Alexander Shorokhoff,Avantgarde Chrono AS.C01-AS,N/A,Dress,Poljot 3133,N/A,Manual,2550,1900,2023,43.5,22,14,50,Sapphire,N/A,Stainless Steel,Leather,N/A,45,Chronograph,Male,Germany
Brellum,Wyvern GMT Chronometer,BR-WYV-GMT,Dress,Valgranges A07.171,ETA A07.171,Automatic,2350,1750,2023,42,22,12.3,100,Sapphire,,Stainless Steel,Bracelet,,48,GMT,Male,Switzerland
Claude Bernard,Classic Automatic 85017,85017 3 AIN2,Dress,SW200-1,SW200-1,Automatic,890,680,2023,42,22,11.2,30,Sapphire,,Stainless Steel,Leather,,38,Date,Male,Switzerland
Davosa,Ternos Professional 500M,161.559.50,Diver,SW200-1,SW200-1,Automatic,1250,980,2023,42,22,14.5,500,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Switzerland
Delma,Cayman Worldtimer,41601.712.6.041,GMT,SW200-1,SW200-1,Automatic,1450,1150,2023,42,22,13.2,200,Sapphire,,Stainless Steel,Bracelet,,38,GMT,Male,Switzerland
Doxa,Sub 200 Sharkhunter,799.10.101.10,Diver,ETA 2824-2,ETA 2824-2,Automatic,990,780,2023,42,19,13.5,200,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Switzerland
Gavox,AviDiver,GAV-AVIDV-DUAL,Diver,Miyota 9015,,Automatic,695,540,2023,43,22,12.8,200,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,Belgium
Gérald Genta,Arena Bi-Retro,ARE.BIR.001.CD.BD,Dress,GG7722,In-house,Automatic,15500,12500,2023,45,22,12.5,100,Sapphire,,Stainless Steel,Rubber,,42,Bi-Retrograde,Male,Switzerland
Greubel Forsey,Balancier S²,GFS2-01,Luxury,GF Caliber,Bespoke,Manual,195000,162000,2023,43.5,22,13.5,100,Sapphire,,Titanium,Rubber,,72,Time Only,Male,Switzerland
H. Moser & Cie.,Pioneer Centre Seconds,3200-1200,Luxury,HMC 200,In-house,Automatic,14500,12000,2023,42.8,22,10.6,120,Sapphire,,Stainless Steel,Bracelet,,72,Time Only,Male,Switzerland
HYT,Hastroid Green Nebula,H02758-A,Luxury,HYT 501-CM,In-house,Hydro-Mechanical,75000,62000,2023,48,21,17.2,50,Sapphire,,Carbon & Titanium,Rubber,,72,Fluid Time,Male,Switzerland
Jacob & Co.,Epic X Chrono,EC311.20.AA.AA.A,Luxury,JCAA05,In-house,Automatic,28500,22000,2023,47,22,14,200,Sapphire,,Titanium,Rubber,,48,Chronograph,Male,Switzerland
Louis Moinet,Meteorite Moon,LMP-001,Luxury,LJLM01,In-house,Manual,195000,160000,2023,46,22,15,30,Sapphire,,18K Gold,Leather,,96,Moon Phase,Male,
MB&F,LM101,LM101-FL,Luxury,MOVEMENT BY MB&F & C.H. Moser,In-house,Manual,62000,51000,2023,40,20,16,30,Sapphire,,18K Gold,Leather,,45,Time Only,Male,Switzerland
Parmigiani Fleurier,Tonda PF Micro-Rotor,PFC914-2020001-200182,Luxury,PF703,In-house,Automatic,22500,17000,2023,40,20,7.8,100,Sapphire,,Platinum,Bracelet,,48,Time Only,Male,Switzerland
Laurent Ferrier,Classic Origin Blue,LFC01.L1.G1.LB.LUX,Luxury,LF116.01,In-house,Manual,36000,29000,2023,40,20,10.7,30,Sapphire,,Titanium,Leather,,80,Time Only,Male,Switzerland
Arnold & Son,Nebula 41.5,1NEAS.B01A.D135A,Luxury,A&S5201,In-house,Manual,17000,14000,2023,41.5,21,8.7,30,Sapphire,,Red Gold,Leather,,90,Openworked,Male,Switzerland
Angelus,U41 Tourbillon Skeleton,0TSBT.U01A.K008T,Luxury,A-300,In-house,Manual,37500,31000,2023,42,22,10,30,Sapphire,,Titanium,Rubber,,60,Tourbillon,Male,Switzerland
De Bethune,DB28 Steel Wheels Sapphire Tourbillon,DB28SWTSS,Luxury,DB2019V4,In-house,Manual,210000,178000,2023,43,21,11,30,Sapphire,,Titanium,Leather,,120,Tourbillon,Male,Switzerland
Greubel Forsey,Tourbillon 24 Secondes Architecture,GF-T24SA,Luxury,GF Caliber,In-house,Manual,490000,395000,2023,47.05,19,16.8,50,Sapphire,,Titanium,Rubber,,90,Tourbillon,Male,Switzerland
F.P. Journe,Chronomètre Bleu,CB-2023,Luxury,1304,In-house,Manual,36000,52000,2023,39,20,8.6,30,Sapphire,,Tantalum,Leather,,56,Time Only,Male,Switzerland
Urwerk,UR-100V Time and Culture II,UR100V-TAC2,Luxury,UR 12.02,In-house,Automatic,62000,51000,2023,41,20,14,30,Sapphire,,Titanium,Textile,,48,Satellite Hours,Male,Switzerland
Czapek,Antarctique Passage de Drake,Ice Blue,Luxury,SXH5,In-house,Automatic,22000,17500,2023,40.5,21.5,10.6,120,Sapphire,,Stainless Steel,Bracelet,,60,Time Only,Male,Switzerland
Kari Voutilainen,28Sport,KV-28SPT,Luxury,Vingt-8,In-house,Manual,125000,102000,2023,39,20,11,30,Sapphire,,Titanium,Leather,,65,Time Only,Male,Switzerland
Moritz Grossmann,Hamatic Vintage MG-002398,N/A,Luxury,106,In-house,Automatic,46500,37500,2023,41,20,11.35,30,Sapphire,,Rose Gold,Leather,,72,Automatic Hammer,Male,Germany
Zeitwinkel,273° Saphir Fumé,ZW-273SF,Luxury,Zeitwinkel Manufacture Caliber ZW0103,In-house,Automatic,12500,9950,2023,42.5,22,13.8,50,Sapphire,,Stainless Steel,Leather,,72,Big Date,Male,
Andersen Genève,Jumping Hours Rising Sun,AGJHRS,Luxury,F. Piguet 11.50,F. Piguet 11.50,Automatic,52000,42500,2023,40,20,10.5,30,Sapphire,,18K Gold,Leather,,60,Jumping Hours,Male,Switzerland
Habring²,Chrono-Felix Perpetual,HF-CP,Luxury,A11CP,In-house,Manual,29500,24000,2023,38.5,20,12,30,Sapphire,,Stainless Steel,Leather,,48,Chronograph,Male,
Speake-Marin,Ripples,SP-RIP01,Luxury,SMA03-T20,In-house,Automatic,23000,18200,2023,40.3,22,11.1,50,Sapphire,,Stainless Steel,Bracelet,,52,Time Only,Male,Switzerland
Ming,17.09 Blue,MN17.09-BLUE,Luxury,Cal. 300.M1,ETA 2824-2 (modified),Automatic,1950,1550,2023,38,20,10,100,Sapphire,,Stainless Steel,Leather,,38,Time Only,Male,Malaysia (Swiss Movement)
Kurono Tokyo,Calendrier Type I,KR-CAL1,Dress,NE86A,,Automatic,1850,1450,2023,38,20,13,50,Sapphire,,Stainless Steel,Leather,,45,Triple Calendar,Male,Japan
Naoya Hida & Co.,NH Type 2C-1,NH-2C-1,Dress,Cal.3019SS,ETA Peseux 7001 base,Manual,23000,19000,2023,37,20,10.8,30,Sapphire,,Stainless Steel,Leather,,48,Time Only,Male,Japan
Hajime Asaoka,Project T Tourbillon,HAPT,Luxury,HA-T01,In-house,Manual,145000,120000,2023,43,21,13.5,30,Sapphire,,Titanium,Leather,,72,Tourbillon,Male,Japan
Greubel Forsey,Hand Made 1,GF-HM1,Luxury,In-house,In-house,Manual,750000,615000,2023,43.5,20,13.5,30,Sapphire,,Platinum,Leather,,60,Time Only,Male,Switzerland
Andersen Genève,Tempus Terrae AGTT03,N/A,Luxury,F. Piguet 11.50,F. Piguet 11.50,Automatic,58000,46000,2023,39,20,11,30,Sapphire,,White Gold,Leather,,60,World Time,Male,Switzerland
Furlan Marri,Chronograph 2116-A,2116-A,Dress,Seiko VK64,N/A,Quartz,550,420,2023,38,20,11.3,50,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland (Assembled)
Atelier Wen,Perception - Hao,AW-H01,Dress,SL5210,In-house,Automatic,2388,1900,2023,39.5,20,9.4,100,Sapphire,,Stainless Steel,Bracelet,,41,Time Only,Male,China
